codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD030001,NOM_PROD30001,DES_PROD30001,2,2,439,2,4179,0,3707,12.74,N,417,526,A
PROD030002,NOM_PROD30002,DES_PROD30002,5,1,1,3,3136,0,2699,16.2,N,0,1,A
PROD030003,NOM_PROD30003,DES_PROD30003,4,3,494,3,5077,0,4294,18.24,N,469,592,A
PROD030004,NOM_PROD30004,DES_PROD30004,2,1,1,5,2418,0,2169,11.5,S,0,1,A
PROD030005,NOM_PROD30005,DES_PROD30005,1,3,53,3,2439,0,2100,16.19,N,50,63,A
PROD030006,NOM_PROD30006,DES_PROD30006,1,3,410,3,5209,0,4431,17.56,N,389,492,A
PROD030007,NOM_PROD30007,DES_PROD30007,3,3,256,4,3113,0,2754,13.07,N,243,307,A
PROD030008,NOM_PROD30008,DES_PROD30008,1,2,37,4,3226,0,2820,14.42,S,35,44,A
PROD030009,NOM_PROD30009,DES_PROD30009,5,2,214,5,3319,0,2941,12.87,N,203,256,A
PROD030010,NOM_PROD30010,DES_PROD30010,1,2,111,1,2461,0,2193,12.25,S,105,133,I
PROD030011,NOM_PROD30011,DES_PROD30011,2,3,15,1,5194,0,4621,12.41,N,14,18,A
PROD030012,NOM_PROD30012,DES_PROD30012,5,2,60,4,5227,0,4639,12.68,N,57,72,I
PROD030013,NOM_PROD30013,DES_PROD30013,1,1,168,4,5027,0,4384,14.67,N,159,201,A
PROD030014,NOM_PROD30014,DES_PROD30014,3,1,97,1,5424,0,4833,12.23,N,92,116,A
PROD030015,NOM_PROD30015,DES_PROD30015,4,3,308,2,3011,0,2649,13.7,N,292,369,A
PROD030016,NOM_PROD30016,DES_PROD30016,4,3,8,1,3694,0,3271,12.96,N,7,9,A
PROD030017,NOM_PROD30017,DES_PROD30017,3,2,490,2,5505,0,4758,15.7,N,465,588,A
PROD030018,NOM_PROD30018,DES_PROD30018,5,1,122,1,2725,0,2302,18.38,N,115,146,I
PROD030019,NOM_PROD30019,DES_PROD30019,5,3,146,5,2732,0,2365,15.55,N,138,175,A
PROD030020,NOM_PROD30020,DES_PROD30020,1,2,354,3,4644,0,4003,16.02,N,336,424,I
PROD030021,NOM_PROD30021,DES_PROD30021,3,2,440,4,5040,0,4515,11.64,N,418,528,A
PROD030022,NOM_PROD30022,DES_PROD30022,4,2,27,1,3638,0,3102,17.28,S,25,32,I
PROD030023,NOM_PROD30023,DES_PROD30023,2,3,259,1,5108,0,4547,12.34,S,246,310,I
PROD030024,NOM_PROD30024,DES_PROD30024,4,3,3,4,4973,0,4438,12.06,N,2,3,A
PROD030025,NOM_PROD30025,DES_PROD30025,3,3,48,5,4800,0,4158,15.45,S,45,57,I
PROD030026,NOM_PROD30026,DES_PROD30026,5,1,118,4,2941,0,2579,14.04,N,112,141,I
PROD030027,NOM_PROD30027,DES_PROD30027,1,1,354,1,2478,0,2237,10.78,N,336,424,A
PROD030028,NOM_PROD30028,DES_PROD30028,2,2,240,2,2381,0,2073,14.87,N,228,288,I
PROD030029,NOM_PROD30029,DES_PROD30029,4,2,432,5,2230,0,1931,15.51,N,410,518,A
PROD030030,NOM_PROD30030,DES_PROD30030,2,3,176,2,3747,0,3370,11.2,S,167,211,A
PROD030031,NOM_PROD30031,DES_PROD30031,5,3,190,1,4799,0,4082,17.58,N,180,228,A
PROD030032,NOM_PROD30032,DES_PROD30032,3,3,221,2,3775,0,3273,15.35,N,209,265,I
PROD030033,NOM_PROD30033,DES_PROD30033,3,2,411,1,4749,0,4006,18.55,S,390,493,A
PROD030034,NOM_PROD30034,DES_PROD30034,5,3,134,2,3237,0,2836,14.17,N,127,160,A
PROD030035,NOM_PROD30035,DES_PROD30035,5,2,262,1,2452,0,2185,12.25,N,248,314,I
PROD030036,NOM_PROD30036,DES_PROD30036,5,2,110,4,3411,0,3040,12.21,N,104,132,I
PROD030037,NOM_PROD30037,DES_PROD30037,4,1,344,1,3440,0,3108,10.7,S,326,412,A
PROD030038,NOM_PROD30038,DES_PROD30038,2,1,328,5,3623,0,3290,10.15,S,311,393,A
PROD030039,NOM_PROD30039,DES_PROD30039,5,2,390,2,2901,0,2605,11.4,N,370,468,A
PROD030040,NOM_PROD30040,DES_PROD30040,1,1,288,1,4321,0,3888,11.14,S,273,345,A
PROD030041,NOM_PROD30041,DES_PROD30041,5,2,377,1,5360,0,4758,12.67,N,358,452,A
PROD030042,NOM_PROD30042,DES_PROD30042,4,1,400,3,4203,0,3622,16.05,N,380,480,A
PROD030043,NOM_PROD30043,DES_PROD30043,5,1,58,2,4303,0,3600,19.55,N,55,69,I
PROD030044,NOM_PROD30044,DES_PROD30044,4,3,86,3,3044,0,2581,17.97,S,81,103,A
PROD030045,NOM_PROD30045,DES_PROD30045,3,3,21,5,3646,0,3283,11.07,N,19,25,I
PROD030046,NOM_PROD30046,DES_PROD30046,3,1,372,1,2262,0,1964,15.19,N,353,446,A
PROD030047,NOM_PROD30047,DES_PROD30047,3,2,363,5,4122,0,3684,11.89,S,344,435,A
PROD030048,NOM_PROD30048,DES_PROD30048,5,1,193,1,3300,0,2896,13.97,S,183,231,I
PROD030049,NOM_PROD30049,DES_PROD30049,5,2,24,4,3159,0,2762,14.38,S,22,28,A
PROD030050,NOM_PROD30050,DES_PROD30050,3,2,227,3,2391,0,2126,12.51,N,215,272,A
PROD030051,NOM_PROD30051,DES_PROD30051,2,1,407,3,4932,0,4300,14.72,S,386,488,A
PROD030052,NOM_PROD30052,DES_PROD30052,5,3,9,3,2283,0,1915,19.25,S,8,10,I
PROD030053,NOM_PROD30053,DES_PROD30053,4,3,266,4,3282,0,2973,10.4,S,252,319,A
PROD030054,NOM_PROD30054,DES_PROD30054,1,3,267,4,3955,0,3421,15.61,S,253,320,A
PROD030055,NOM_PROD30055,DES_PROD30055,4,3,337,3,4048,0,3665,10.47,S,320,404,A
PROD030056,NOM_PROD30056,DES_PROD30056,4,1,306,3,2458,0,2199,11.79,S,290,367,A
PROD030057,NOM_PROD30057,DES_PROD30057,5,3,308,3,3340,0,2884,15.84,S,292,369,A
PROD030058,NOM_PROD30058,DES_PROD30058,1,1,333,3,3254,0,2767,17.63,N,316,399,A
PROD030059,NOM_PROD30059,DES_PROD30059,2,3,432,5,5471,0,4568,19.77,S,410,518,A
PROD030060,NOM_PROD30060,DES_PROD30060,2,1,29,1,2636,0,2271,16.08,N,27,34,A
PROD030061,NOM_PROD30061,DES_PROD30061,3,1,455,4,2976,0,2581,15.34,S,432,546,I
PROD030062,NOM_PROD30062,DES_PROD30062,1,2,90,5,5344,0,4610,15.94,S,85,108,A
PROD030063,NOM_PROD30063,DES_PROD30063,2,2,349,3,4570,0,4131,10.63,S,331,418,I
PROD030064,NOM_PROD30064,DES_PROD30064,5,3,399,4,3145,0,2769,13.6,S,379,478,A
PROD030065,NOM_PROD30065,DES_PROD30065,1,2,489,5,4516,0,3836,17.73,S,464,586,I
PROD030066,NOM_PROD30066,DES_PROD30066,2,1,336,5,2495,0,2194,13.74,N,319,403,A
PROD030067,NOM_PROD30067,DES_PROD30067,5,1,30,5,2308,0,2089,10.52,N,28,36,I
PROD030068,NOM_PROD30068,DES_PROD30068,5,1,424,3,2272,0,1986,14.42,S,402,508,A
PROD030069,NOM_PROD30069,DES_PROD30069,1,3,96,5,3286,0,2918,12.64,S,91,115,I
PROD030070,NOM_PROD30070,DES_PROD30070,3,2,423,1,2485,0,2229,11.5,N,401,507,A
PROD030071,NOM_PROD30071,DES_PROD30071,5,1,381,3,2094,0,1903,10.04,S,361,457,A
PROD030072,NOM_PROD30072,DES_PROD30072,1,1,361,5,5164,0,4385,17.77,S,342,433,A
PROD030073,NOM_PROD30073,DES_PROD30073,4,3,156,3,4689,0,4118,13.88,S,148,187,I
PROD030074,NOM_PROD30074,DES_PROD30074,2,1,202,2,2801,0,2399,16.77,N,191,242,I
PROD030075,NOM_PROD30075,DES_PROD30075,4,2,7,5,2858,0,2449,16.71,N,6,8,I
PROD030076,NOM_PROD30076,DES_PROD30076,4,2,138,5,3089,0,2794,10.58,N,131,165,I
PROD030077,NOM_PROD30077,DES_PROD30077,4,3,35,3,2236,0,1972,13.41,N,33,42,A
PROD030078,NOM_PROD30078,DES_PROD30078,5,1,399,3,2259,0,2046,10.44,S,379,478,A
PROD030079,NOM_PROD30079,DES_PROD30079,5,3,408,2,5744,0,4899,17.25,N,387,489,I
PROD030080,NOM_PROD30080,DES_PROD30080,5,1,255,3,4855,0,4340,11.88,S,242,306,A
PROD030081,NOM_PROD30081,DES_PROD30081,5,1,207,4,5735,0,4885,17.42,S,196,248,A
PROD030082,NOM_PROD30082,DES_PROD30082,5,2,329,3,3831,0,3388,13.08,S,312,394,A
PROD030083,NOM_PROD30083,DES_PROD30083,4,3,320,5,5426,0,4771,13.74,N,304,384,A
PROD030084,NOM_PROD30084,DES_PROD30084,2,2,121,3,4967,0,4269,16.37,N,114,145,I
PROD030085,NOM_PROD30085,DES_PROD30085,1,2,103,1,5092,0,4387,16.08,S,97,123,A
PROD030086,NOM_PROD30086,DES_PROD30086,5,3,311,4,4190,0,3713,12.87,N,295,373,A
PROD030087,NOM_PROD30087,DES_PROD30087,5,2,477,1,3643,0,3190,14.23,S,453,572,A
PROD030088,NOM_PROD30088,DES_PROD30088,4,3,59,3,4524,0,3859,17.25,S,56,70,I
PROD030089,NOM_PROD30089,DES_PROD30089,2,3,360,4,2635,0,2344,12.44,N,342,432,A
PROD030090,NOM_PROD30090,DES_PROD30090,4,3,62,2,5363,0,4755,12.79,S,58,74,A
PROD030091,NOM_PROD30091,DES_PROD30091,3,3,464,5,2919,0,2526,15.56,N,440,556,I
PROD030092,NOM_PROD30092,DES_PROD30092,4,1,116,1,5494,0,4918,11.72,S,110,139,I
PROD030093,NOM_PROD30093,DES_PROD30093,1,2,239,2,5725,0,4942,15.85,N,227,286,I
PROD030094,NOM_PROD30094,DES_PROD30094,1,2,72,3,4704,0,3977,18.29,S,68,86,A
PROD030095,NOM_PROD30095,DES_PROD30095,1,3,456,1,3852,0,3300,16.74,S,433,547,I
PROD030096,NOM_PROD30096,DES_PROD30096,2,2,240,1,2953,0,2576,14.64,N,228,288,I
PROD030097,NOM_PROD30097,DES_PROD30097,4,1,164,4,5665,0,4735,19.66,S,155,196,A
PROD030098,NOM_PROD30098,DES_PROD30098,5,1,150,4,5805,0,4936,17.62,N,142,180,A
PROD030099,NOM_PROD30099,DES_PROD30099,4,3,431,3,2589,0,2234,15.9,N,409,517,A
PROD030100,NOM_PROD30100,DES_PROD30100,1,1,307,1,4711,0,4076,15.6,S,291,368,I
PROD030101,NOM_PROD30101,DES_PROD30101,5,2,160,1,3796,0,3305,14.87,S,152,192,I
PROD030102,NOM_PROD30102,DES_PROD30102,4,2,160,4,4850,0,4242,14.35,S,152,192,I
PROD030103,NOM_PROD30103,DES_PROD30103,5,1,402,1,3763,0,3364,11.89,N,381,482,A
PROD030104,NOM_PROD30104,DES_PROD30104,4,3,477,1,3738,0,3374,10.8,S,453,572,A
PROD030105,NOM_PROD30105,DES_PROD30105,1,3,247,1,2390,0,2165,10.43,N,234,296,A
PROD030106,NOM_PROD30106,DES_PROD30106,2,1,184,2,3019,0,2723,10.9,S,174,220,I
PROD030107,NOM_PROD30107,DES_PROD30107,4,2,70,3,5695,0,4900,16.24,S,66,84,I
PROD030108,NOM_PROD30108,DES_PROD30108,1,1,88,5,3714,0,3266,13.72,N,83,105,A
PROD030109,NOM_PROD30109,DES_PROD30109,4,2,371,1,3096,0,2596,19.29,S,352,445,I
PROD030110,NOM_PROD30110,DES_PROD30110,4,3,467,3,4264,0,3573,19.34,S,443,560,A
PROD030111,NOM_PROD30111,DES_PROD30111,2,3,207,5,3857,0,3218,19.87,S,196,248,I
PROD030112,NOM_PROD30112,DES_PROD30112,4,1,172,3,5483,0,4724,16.07,S,163,206,A
PROD030113,NOM_PROD30113,DES_PROD30113,1,1,168,4,3295,0,2862,15.13,S,159,201,A
PROD030114,NOM_PROD30114,DES_PROD30114,3,2,259,4,2706,0,2289,18.24,S,246,310,I
PROD030115,NOM_PROD30115,DES_PROD30115,4,3,389,1,4154,0,3618,14.84,N,369,466,I
PROD030116,NOM_PROD30116,DES_PROD30116,5,2,48,1,4588,0,3927,16.85,N,45,57,A
PROD030117,NOM_PROD30117,DES_PROD30117,4,3,240,1,4868,0,4225,15.23,S,228,288,I
PROD030118,NOM_PROD30118,DES_PROD30118,5,2,235,3,2299,0,2031,13.21,N,223,282,A
PROD030119,NOM_PROD30119,DES_PROD30119,4,3,475,1,4430,0,3799,16.62,N,451,570,I
PROD030120,NOM_PROD30120,DES_PROD30120,3,2,228,3,3806,0,3413,11.54,N,216,273,A
