codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado,detalle_error
PROD020001,NOM_PROD20001,DES_PROD20001,4,2,25,5,4697,0,4123,13.93,N,23,30,A,"categoria no existe (id: 4)"
PROD020003,NOM_PROD20003,DES_PROD20003,4,1,31,5,2462,0,2146,14.76,N,29,37,A,"categoria no existe (id: 4)"
PROD020004,NOM_PROD20004,DES_PROD20004,4,3,9,1,4127,0,3684,12.05,S,8,10,I,"categoria no existe (id: 4)"
PROD020007,NOM_PROD20007,DES_PROD20007,4,3,435,2,2326,0,2033,14.44,S,413,522,I,"categoria no existe (id: 4)"
PROD020009,NOM_PROD20009,DES_PROD20009,4,2,32,5,5394,0,4514,19.5,S,30,38,A,"categoria no existe (id: 4)"
PROD020011,NOM_PROD20011,DES_PROD20011,5,3,281,5,2937,0,2523,16.42,S,266,337,A,"categoria no existe (id: 5)"
PROD020014,NOM_PROD20014,DES_PROD20014,4,1,275,4,4377,0,3697,18.42,S,261,330,I,"categoria no existe (id: 4)"
PROD020017,NOM_PROD20017,DES_PROD20017,5,1,463,2,4838,0,4272,13.26,N,439,555,A,"categoria no existe (id: 5)"
PROD020018,NOM_PROD20018,DES_PROD20018,5,2,328,3,3975,0,3525,12.78,N,311,393,A,"categoria no existe (id: 5)"
PROD020024,NOM_PROD20024,DES_PROD20024,4,3,132,5,4836,0,4342,11.4,N,125,158,I,"categoria no existe (id: 4)"
PROD020029,NOM_PROD20029,DES_PROD20029,5,1,321,1,3829,0,3379,13.32,N,304,385,I,"categoria no existe (id: 5)"
PROD020030,NOM_PROD20030,DES_PROD20030,4,2,340,5,4140,0,3653,13.35,S,323,408,I,"categoria no existe (id: 4)"
PROD020033,NOM_PROD20033,DES_PROD20033,4,3,172,2,5670,0,4977,13.93,N,163,206,I,"categoria no existe (id: 4)"
PROD020034,NOM_PROD20034,DES_PROD20034,4,1,22,3,3523,0,3075,14.57,N,20,26,I,"categoria no existe (id: 4)"
PROD020035,NOM_PROD20035,DES_PROD20035,5,2,340,2,4469,0,3953,13.07,S,323,408,A,"categoria no existe (id: 5)"
PROD020036,NOM_PROD20036,DES_PROD20036,5,1,407,1,5518,0,4751,16.16,N,386,488,I,"categoria no existe (id: 5)"
PROD020040,NOM_PROD20040,DES_PROD20040,5,3,15,5,5752,0,4835,18.97,S,14,18,A,"categoria no existe (id: 5)"
PROD020042,NOM_PROD20042,DES_PROD20042,5,2,458,2,4125,0,3511,17.49,N,435,549,A,"categoria no existe (id: 5)"
PROD020046,NOM_PROD20046,DES_PROD20046,4,2,316,1,3268,0,2848,14.78,S,300,379,A,"categoria no existe (id: 4)"
PROD020049,NOM_PROD20049,DES_PROD20049,5,3,198,4,4423,0,3967,11.5,N,188,237,A,"categoria no existe (id: 5)"
PROD020051,NOM_PROD20051,DES_PROD20051,4,2,191,5,4755,0,4273,11.29,S,181,229,I,"categoria no existe (id: 4)"
